iter	Passed	Remaining
0	180	179892
1	183	91520
2	186	61890
3	188	47043
4	191	38059
5	193	32077
6	196	27854
7	199	24679
8	201	22182
9	203	20164
10	206	18523
11	208	17159
12	210	15982
13	212	14980
14	214	14067
15	215	13262
16	217	12559
17	218	11912
18	219	11333
19	220	10812
20	221	10341
21	222	9911
22	224	9517
23	225	9177
24	227	8866
25	228	8553
26	229	8263
27	230	7991
28	231	7738
29	232	7502
30	232	7279
31	233	7071
32	234	6878
33	235	6696
34	236	6525
35	237	6364
36	238	6212
37	239	6073
38	241	5945
39	242	5823
40	243	5699
41	244	5579
42	245	5466
43	246	5356
44	247	5252
45	248	5152
46	249	5055
47	250	4963
48	251	4876
49	252	4793
50	253	4717
51	254	4640
52	255	4572
53	257	4506
54	258	4436
55	259	4370
56	260	4305
57	261	4241
58	262	4179
59	263	4120
60	263	4062
61	264	4006
62	265	3951
63	266	3900
64	267	3851
65	268	3803
66	269	3757
67	271	3716
68	272	3678
69	273	3635
70	274	3592
71	275	3551
72	276	3511
73	277	3471
74	278	3433
75	279	3395
76	280	3358
77	281	3322
78	282	3287
79	282	3253
80	283	3220
81	284	3187
82	285	3152
83	286	3125
84	287	3100
85	288	3070
86	289	3041
87	290	3012
88	291	2984
89	292	2956
90	293	2929
91	294	2902
92	294	2876
93	295	2851
94	296	2826
95	297	2801
96	298	2777
97	299	2756
98	300	2735
99	301	2713
100	302	2692
101	303	2670
102	304	2650
103	305	2628
104	305	2607
105	306	2586
106	307	2566
107	308	2545
108	309	2526
109	309	2507
110	310	2488
111	311	2470
112	312	2451
113	313	2433
114	314	2417
115	315	2403
116	316	2390
117	317	2374
118	318	2357
119	319	2340
120	319	2324
121	320	2307
122	321	2291
123	322	2276
124	323	2261
125	323	2246
126	324	2232
127	325	2218
128	326	2204
129	327	2190
130	328	2176
131	329	2163
132	330	2152
133	331	2144
134	332	2131
135	333	2117
136	334	2104
137	334	2092
138	335	2079
139	336	2067
140	337	2054
141	337	2041
142	338	2029
143	339	2017
144	340	2006
145	341	1994
146	342	1984
147	342	1974
148	343	1964
149	345	1955
150	346	1947
151	347	1938
152	348	1928
153	349	1917
154	350	1908
155	351	1899
156	352	1891
157	353	1881
158	354	1873
159	355	1865
160	355	1855
161	356	1846
162	357	1836
163	358	1827
164	359	1818
165	360	1810
166	361	1803
167	362	1795
168	363	1786
169	364	1777
170	364	1768
171	365	1760
172	366	1752
173	367	1744
174	368	1736
175	368	1727
176	369	1718
177	370	1710
178	371	1702
179	372	1694
180	372	1686
181	373	1679
182	374	1672
183	375	1666
184	376	1660
185	377	1653
186	378	1645
187	379	1638
188	380	1630
189	381	1624
190	381	1617
191	382	1610
192	383	1603
193	384	1598
194	385	1591
195	386	1585
196	387	1578
197	388	1572
198	389	1566
199	390	1560
200	391	1555
201	392	1549
202	393	1543
203	394	1538
204	395	1532
205	396	1527
206	397	1522
207	398	1516
208	399	1511
209	400	1504
210	400	1499
211	401	1492
212	402	1486
213	403	1480
214	403	1474
215	404	1469
216	406	1466
217	407	1461
218	408	1455
219	409	1451
220	410	1446
221	411	1440
222	411	1435
223	412	1429
224	413	1424
225	414	1418
226	415	1413
227	415	1407
228	416	1402
229	417	1397
230	418	1392
231	419	1387
232	420	1382
233	421	1380
234	422	1376
235	423	1371
236	424	1367
237	425	1361
238	426	1356
239	426	1351
240	427	1346
241	428	1341
242	429	1337
243	429	1332
244	430	1327
245	431	1322
246	432	1318
247	433	1313
248	433	1308
249	434	1304
250	436	1302
251	437	1299
252	438	1294
253	439	1290
254	440	1285
255	440	1281
256	441	1276
257	442	1272
258	443	1267
259	443	1263
260	444	1259
261	445	1254
262	446	1250
263	447	1246
264	447	1242
265	448	1238
266	449	1233
267	450	1230
268	452	1229
269	453	1225
270	454	1221
271	454	1217
272	455	1213
273	456	1209
274	457	1205
275	458	1201
276	458	1197
277	459	1193
278	460	1189
279	461	1185
280	461	1182
281	462	1178
282	463	1174
283	464	1170
284	465	1167
285	466	1164
286	467	1162
287	468	1158
288	469	1155
289	470	1151
290	471	1147
291	471	1143
292	472	1140
293	473	1136
294	474	1133
295	474	1129
296	475	1125
297	476	1122
298	477	1118
299	477	1115
300	478	1112
301	479	1109
302	481	1108
303	483	1106
304	484	1102
305	484	1099
306	485	1096
307	486	1092
308	487	1089
309	488	1086
310	489	1083
311	489	1080
312	490	1076
313	491	1073
314	492	1070
315	493	1067
316	494	1064
317	494	1061
318	495	1058
319	496	1056
320	498	1055
321	499	1052
322	500	1049
323	501	1046
324	502	1043
325	503	1040
326	504	1037
327	505	1034
328	505	1031
329	506	1028
330	507	1026
331	508	1023
332	509	1020
333	510	1017
